,artist(s),track,market,release date,danceability,energy,loudness,mode,acousticness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,language,languages,lang 1,lang 2,lang 3
0,Lil Nas X,MONTERO (Call Me By Your Name),fr,1/14/21,0.61,0.508,-6.682,0,0.297,0.152,0.0,0.384,0.758,178.818,137876,4,en,"['en', 'tr']",0.976744186,0.023255814,0.0
1,Gazo,HAINE&SEX,fr,1/14/21,0.774,0.583,-8.649,1,0.422,0.169,1.55e-05,0.145,0.323,148.018,201427,4,fr,"['fr', 'ar', 'en']",0.959183673,0.020408163,0.020408163
2,Naps,La kiffance,fr,1/14/21,0.806,0.637,-6.515,1,0.232,0.0881,0.0,0.071,0.674,140.053,179427,4,fr,"['fr', 'en']",0.975609756,0.024390244,0.0
3,Moha K,Vroum Vroum,fr,1/14/21,0.758,0.591,-7.749,0,0.556,0.0444,0.0,0.0847,0.55,116.992,186197,4,fr,"['fr', 'en', 'tl']",0.950819672,0.032786885,0.016393443
4,Tayc,Le temps,fr,1/14/21,0.577,0.595,-6.084,1,0.108,0.173,0.000101,0.0759,0.633,201.892,197241,4,fr,"['fr', 'en', 'it']",0.769230769,0.096153846,0.076923077
5,Wejdene,Je t’aime de ouf,fr,1/14/21,0.623,0.346,-9.881,0,0.896,0.0682,0.0,0.116,0.185,84.621,169186,5,fr,['fr'],1.0,0.0,0.0
6,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),fr,1/14/21,0.677,0.696,-6.181,1,0.321,0.119,0.0,0.42,0.464,90.03,198082,4,en,['en'],1.0,0.0,0.0
7,SCH,Mode Akimbo (feat. Jul),fr,1/14/21,0.875,0.848,-5.859,0,0.0717,0.158,0.000613,0.0828,0.577,122.983,217107,4,fr,"['fr', 'ar', 'en']",0.966101695,0.016949153,0.016949153
8,"Naps, SCH",La danse des bandits,fr,1/14/21,0.83,0.676,-5.275,0,0.185,0.0681,1.28e-05,0.105,0.576,135.023,174053,4,fr,"['fr', 'da', 'es']",0.857142857,0.047619048,0.047619048
9,"Black Eyed Peas, Shakira",GIRL LIKE ME,fr,1/14/21,0.965,0.485,-8.784,1,0.0206,0.191,0.0237,0.0655,0.312,124.025,222523,4,en,"['en', 'es', 'ja']",0.609756098,0.365853659,0.012195122
10,"Travis Scott, HVME",Goosebumps - Remix,fr,1/14/21,0.841,0.593,-7.846,1,0.418,0.0379,0.0,0.124,0.808,124.917,162803,4,en,"['en', 'und']",0.984848485,0.015151515,0.0
11,"Serge Ibaka, Ninho",Champion,fr,1/14/21,0.642,0.782,-3.395,0,0.381,0.0477,0.0,0.108,0.396,162.005,195053,4,fr,"['fr', 'en', 'ar']",0.86,0.06,0.02
